127.0.0.1 - - [10/Nov/2018:22:59:43 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Nov/2018:22:59:44 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [10/Nov/2018:22:59:44 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:22:59:44 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:22:59:56 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [10/Nov/2018:22:59:56 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [10/Nov/2018:23:01:53 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [10/Nov/2018:23:01:59 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [10/Nov/2018:23:02:04 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [10/Nov/2018:23:02:04 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:23:03:07 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:23:03:39 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [10/Nov/2018:23:03:42 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [10/Nov/2018:23:03:46 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [10/Nov/2018:23:03:46 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:23:03:56 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 226
